notes,target
"On 7 Feb, in Nagpur city (Nagpur, Maha), the ABVP activists and other students damaged properties inside the Nagpur University and also attacked security guards of the campus over non-admission of the ABVP to the school premises. The guards suffered minor injuries.",Riots
"On 7 Feb, in Khamtarai, (Raipur, Chhattisgarh), during a ""Chhattisgarh bandh"" called by SC/ST/OBC, Minorities Sanyukta Morcha and OBC Mahasangh Chhattisgarh demanding a higher percentage of reservations to SC/ST/OBC, farmers and other organizations marched from Bilaspur to Raipur to raise awareness about the demand. Day 6",Protests
"On 6 Feb, in Bhopal city (Bhopal, Madhya Pradesh), banking personnel under the United Forum of Bank Unions staged a protest against the decision of merger of Dena Bank and Vijaya Bank with Bank of Baroda. [size=no report]",Protests
"On 6 Feb, in Yadgir district (Karnataka), the SUCIC and Raita Krishi Karmikara Sanghatane jointly held a protest to demand that pending wages of those who worked under the Mahatma Gandhi National Rural Employment Guarantee Act be released immediately.",Protests
"On 6 February, farmers from Pedhni village brought stray cattle in trailers and staged a protest at the DC's office in Sangrur (Sangrur, Punjab) and threatened to release them in offices there if the issue was not addressed. They were stopped from entering the DC's office by police.",Protests
"Defusal: On 6 February, a bomb was found by MGNREGA workers clearing sewage near the local government high school in Bhandal Bet village (Kapurthala, Punjab). Police instituted a security cordon and the school and surrounding area evacuated while the bomb is investigated and disposed of (the school is located near a river, so there seems to be little concern the bomb was deliberately planted).",Other
"On 6 February, East Delhi Municipal Corporation councillors got in a physical fight during an EDMC meeting in East Delhi (Delhi) when AAP and BJP councillors attacked each other over alleged indecent remarks from a BJP councillor towards an AAP councillor. Two people were injured in a fight that lasted four hours.",Riots
"On 6 February, three men opened fire on the nephew of a former INLD MLA in Yamunanagar (Yamunanagar, Haryana). The nephew was not injured but bullets struck and injured an auto-rickshaw driver. The cause was probably an old rivalry, no further details.",Violence against civilians
"On 6 Feb, an LeT commander was killed in a clash with state forces during a joint RR, CRPF and SOG CASO at Chakoora village (Pulwama, J&K). Rioters clashed with state forces at the scene.",Other
"On February 6, an explosion occurred in the house of a Trinamool Congress panchayat member in Paikuni village, in Dharampur area (Birbhum, West Bengal), which blew away the tin roof ceiling. There were no reports of injuries. The police is investigating if the bombs exploded from inside the house or thrown from outside.",Other
"On 6 February, family members of a pregnant woman who died during surgery staged a protest at a private hospital in Rayya (Amritsar, Punjab) claiming negligence of the doctor, who was later booked by police.",Protests
"On 6 February, family of a 13 year old boy who was killed after a road accident staged a protest at the Baltana police post in Zirakpur (Sahibzada Ajit Singh Nagar, Punjab) demanding that police arrest the person accused in the case.",Protests
"On 6 February, BKU farmers staged a protest and closed/locked the main gate of a sugar mill in Karnal (Karnal, Haryana), marking the sixth day of an ongoing protest over delayed construction of a new sugar mill. This locked the employees inside the building for around an hour.",Protests
"On 6 February, resident doctors staged a second day of protest at Government Medical College and Hospital in Amritsar (Amritsar, Punjab) claiming a lack of action over an 'eve teasing' incident in which two female doctors were harassed by security guards. They demanded a CCTV network in the area to ensure security for doctors, as well as resignation of the Medical Superintendent. They are on indefinite strike.",Protests
"On 6 February, contractual nurses continued their protest in demand of regularisation in Patiala (Patiala, Punjab), including a symbolic protest by 6 women who climbed on top of the Government Rajindra Hospital building to protest, saying they will stay there until demands are met and threatened suicide if they are not met in 48 hrs.",Protests
"On 6 February, the opposition parties in Uttar Pradesh Assembly in Lucknow (Lucknow, Uttar Pradesh) staged a walkout protest over the issue of back payments for sugarcane farmers.",Protests
"On 6 February, the Punjab State Ministerial Services Association staged a protest at the DAC in Bathinda (Bathinda, Punjab) and burnt an effigy of the state government for failing to address their existing demands including release of pending DA installments and implementation of the 6th pay commission.",Protests
"On 6 February, the PGI non-faculty employees unions staged a black flag protest at a community centre, central workshop, and employee housing in Chandigarh (Chandigarh) after the GI announced plans to demolish the buildings to build a new health centre. The employees particularly opposed to the destruction of housing and lack of plans to replace the buildings.",Protests
"On 6 February, members of the Junior Engineers Council central working committee sat on a protest/hunger strike outside the HQ of Punjab State Power Corporation Ltd in Patiala (Patiala, Punjab) demanding consideration of their long standing demands including over pay scale, seniorities/promotions, and other employment concerns.",Protests
"On 6 February, around 20 lakh employees of the Uttar Pradesh government, represented by around 150 employee unions, went on strike to demand restoration of the old pension scheme in the state, as the new scheme requires an increase in employee contribution. Union leaders staged protests outside government buildings in Lucknow (Lucknow, Uttar Pradesh) to strategize and demand government action. Employees protested in Bareilly, Shahjahanpur, Sambhal, Firozabad, Meerut, Mathura, Kanpur, Varanasi, Hardoi, Allahabad, Raebareli, Lucknow, and Ambedkar Nagar districts.",Protests
"On 6 February, around 20 lakh employees of the Uttar Pradesh government, represented by around 150 employee unions, went on strike to demand restoration of the old pension scheme in the state, as the new scheme requires an increase in employee contribution. Union leaders staged protests outside government buildings in Lucknow (Lucknow, Uttar Pradesh) to strategize and demand government action. Employees protested in Bareilly, Shahjahanpur, Sambhal, Firozabad, Meerut, Mathura, Kanpur, Varanasi, Hardoi, Allahabad, Raebareli, and Ambedkar Nagar districts.",Protests
"On 6 February, around 20 lakh employees of the Uttar Pradesh government, represented by around 150 employee unions, went on strike to demand restoration of the old pension scheme in the state, as the new scheme requires an increase in employee contribution. Union leaders staged protests outside government buildings in Lucknow (Lucknow, Uttar Pradesh) to strategize and demand government action. Employees protested in Bareilly, Shahjahanpur, Sambhal, Firozabad, Meerut, Mathura, Kanpur, Varanasi, Hardoi, Allahabad, Raebareli, and Ambedkar Nagar districts.",Protests
"On 6 February, around 20 lakh employees of the Uttar Pradesh government, represented by around 150 employee unions, went on strike to demand restoration of the old pension scheme in the state, as the new scheme requires an increase in employee contribution. Union leaders staged protests outside government buildings in Lucknow (Lucknow, Uttar Pradesh) to strategize and demand government action. Employees protested in Bareilly, Shahjahanpur, Sambhal, Firozabad, Meerut, Mathura, Kanpur, Varanasi, Hardoi, Allahabad, Raebareli, and Ambedkar Nagar districts.",Protests
